ts,ws_temp_f,ws_rh_pct,ws_solar_w_m2,ws_wind_mph,temp_avg,rh_avg,vpd_avg,temp_north,temp_east,temp_west,temp_south,heat1,heat2,fan1,fan2,vent
2025-10-06 09:18:00+00,44.24,,0,1.72244094488189,58.2799987792969,67.9250030517578,0.533084750175476,,,,58.0999984741211,t,f,f,f,f
2025-10-06 09:24:00+00,44.24,,0,1.72244094488189,58.2799987792969,67.875,0.533084750175476,,,,58.0999984741211,t,f,f,f,f
2025-10-06 09:26:00+00,44.276,,0,2.16982820329277,58.2799987792969,67.875,0.534328460693359,,58.4599990844727,,,t,f,f,f,f
2025-10-06 09:30:00+00,44.114,,0,2.84090909090909,58.2350006103516,67.8249969482422,0.533467411994934,,58.2800025939941,,,t,f,f,f,f
2025-10-06 09:32:00+00,44.114,,0,2.84090909090909,58.2350006103516,67.7999954223633,0.534295678138733,,58.2800025939941,,,t,f,f,f,f
2025-10-06 09:34:00+00,44.114,,0,2.84090909090909,58.1900024414062,67.8000030517578,0.533421158790588,58.0999984741211,,58.2800025939941,,t,f,f,f,f
2025-10-06 09:36:00+00,44.06,,0,2.08035075161059,58.1900024414062,67.8000030517578,0.533389985561371,58.0999984741211,,58.4599990844727,,t,f,f,f,f
2025-10-06 09:38:00+00,44.06,,0,2.08035075161059,58.1900024414062,67.8000030517578,0.533421158790588,58.0999984741211,,58.2800025939941,,t,f,f,f,f
2025-10-06 09:40:00+00,44.024,,0,1.49874731567645,58.1900024414062,67.75,0.53386253118515,58.0999984741211,,58.2800025939941,,t,f,f,f,f
2025-10-06 09:42:00+00,44.024,,0,1.49874731567645,58.1000022888184,67.75,0.532538652420044,58.0999984741211,,,57.9200019836426,t,f,f,f,f
2025-10-06 09:44:00+00,44.06,,0,1.58822476735863,58.1900024414062,67.75,0.533390045166016,57.9200019836426,,,58.0999984741211,t,f,f,f,f
2025-10-06 09:46:00+00,44.06,,0,1.58822476735863,58.1450004577637,67.7999954223633,0.532572388648987,57.9200019836426,,,58.0999984741211,t,f,f,f,f
2025-10-06 09:48:00+00,44.06,,0,1.58822476735863,58.1000022888184,67.7249984741211,0.533395349979401,,,,57.9200019836426,t,f,f,f,f
2025-10-06 09:50:00+00,44.078,,0,0.917143879742305,58.1450004577637,67.7750015258789,0.532567083835602,58.0999984741211,,,,t,f,f,f,f
2025-10-06 09:52:00+00,43.97,,0,2.2369362920544,58.1000022888184,67.75,0.532543957233429,57.9200019836426,,,,t,f,f,f,f
2025-10-06 10:04:00+00,43.844,,0,3.78042233357194,58.1000022888184,67.6750030517578,0.533779740333557,,58.2800025939941,,,t,f,f,f,f
2025-10-06 10:06:00+00,43.574,,0,3.3554044380816,58.0550003051758,67.6750030517578,0.532918095588684,,58.0999984741211,,,t,f,f,f,f
2025-10-06 10:08:00+00,43.574,,0,3.3554044380816,58.1000022888184,67.625,0.534605324268341,,58.2800025939941,,,t,f,f,f,f
2025-10-06 10:12:00+00,43.574,,0,2.72906227630637,58.1000022888184,67.5999984741211,0.53502082824707,,58.2800025939941,,,t,f,f,f,f
2025-10-06 10:14:00+00,43.484,,0,1.43163922691482,58.0550003051758,67.5750045776367,0.533743739128113,,58.0999984741211,,,t,f,f,f,f
2025-10-06 10:16:00+00,43.484,,0,1.43163922691482,58.0550003051758,67.625,0.533322870731354,,58.2800025939941,58.0999984741211,,t,f,f,f,f
2025-10-06 10:18:00+00,43.484,,0,1.43163922691482,57.9650039672852,67.6500015258789,0.532016813755035,,58.0999984741211,58.0999984741211,57.7399978637695,t,f,f,f,f
2025-10-06 10:20:00+00,43.646,,0,1.56585540443808,57.9650039672852,67.6500015258789,0.531598687171936,,,58.2800025939941,57.7399978637695,t,f,f,f,f
2025-10-06 10:22:00+00,43.646,,0,1.56585540443808,58.0550003051758,67.625,0.533741056919098,,,58.2800025939941,57.9200019836426,t,f,f,f,f
2025-10-06 10:24:00+00,43.754,,0,1.72244094488189,57.9650039672852,67.6500015258789,0.531601309776306,,,58.0999984741211,57.7399978637695,t,f,f,f,f
2025-10-06 10:30:00+00,43.808,,0,3.04223335719399,57.9199981689453,67.5500030517578,0.532392740249634,57.7399978637695,,,,t,f,f,f,f
2025-10-06 10:32:00+00,43.898,,0,1.20794559770938,57.9199981689453,67.5500030517578,0.532387375831604,57.7399978637695,,,,t,f,f,f,f
2025-10-06 10:44:00+00,44.06,,0,1.36453113815319,57.9199981689453,67.5250015258789,0.532805562019348,,58.0999984741211,58.0999984741211,,t,f,f,f,f
2025-10-06 10:48:00+00,44.06,,0,1.36453113815319,57.9199981689453,67.5500030517578,0.532805502414703,57.7399978637695,58.0999984741211,,,t,f,f,f,f
2025-10-06 10:50:00+00,44.114,,0,1.6777022190408,57.8749961853027,67.5250015258789,0.531940817832947,,57.9200019836426,,,t,f,f,f,f
2025-10-06 10:52:00+00,44.114,,0,1.6777022190408,57.9199981689453,67.5500030517578,0.532831728458405,57.7399978637695,58.0999984741211,,,t,f,f,f,f
2025-10-06 10:54:00+00,44.24,,0,0.536864710093057,57.8749961853027,67.5500030517578,0.531533360481262,,57.9200019836426,,,t,f,f,f,f
2025-10-06 11:00:00+00,44.096,,0,2.08035075161059,57.8749961853027,67.5000076293945,0.532348334789276,,57.9200019836426,,,t,f,f,f,f
2025-10-06 11:04:00+00,44.132,,0,1.49874731567645,57.8749961853027,67.5,0.532348334789276,,58.0999984741211,58.0999984741211,,t,f,f,f,f
